id_siniestro;fecha_ocurrencia;fecha_reporte;monto_pagado;monto_reserva;ramo;id_poliza
S031;1/1/2021;1/1/2024;2000;8000;Automoviles;POL-031
S032;1/1/2024;1/1/2024;1500;4000;Vida;POL-032
S033;1/1/2025;1/1/2025;3000;10000;Automoviles;POL-033
S034;1/1/2021;1/1/2021;4000;12000;Vida;POL-034
S035;1/1/2024;1/1/2025;1200;3000;Automoviles;POL-035
S036;1/1/2024;1/1/2024;5000;15000;Vida;POL-036
S037;1/1/2021;1/1/2023;800;2000;Automoviles;POL-037
S038;1/1/2021;1/1/2021;2500;7000;Vida;POL-038
S039;1/1/2025;1/1/2025;1800;6000;Automoviles;POL-039
S040;1/1/2026;1/1/2026;1000;5000;Automoviles;POL-040
S041;1/1/2021;1/1/2021;2000;8000;Automoviles;POL-041
S042;1/1/2021;1/1/2024;1500;4000;Vida;POL-042
S043;1/1/2024;1/1/2024;3000;10000;Automoviles;POL-043
S044;1/1/2021;1/1/2026;4000;12000;Vida;POL-044
S045;1/1/2021;1/1/2023;1200;3000;Automoviles;POL-045
S046;1/1/2026;1/1/2026;5000;15000;Vida;POL-046
S047;1/1/2021;1/1/2022;800;2000;Automoviles;POL-047
S048;1/1/2026;1/1/2026;2500;7000;Vida;POL-048
S049;1/1/2021;1/1/2021;1800;6000;Automoviles;POL-049
S050;1/1/2025;1/1/2026;1000;5000;Automoviles;POL-050
S051;1/1/2021;1/1/2023;2000;8000;Automoviles;POL-051
S052;1/1/2025;1/1/2025;1500;4000;Vida;POL-052
S053;1/1/2021;1/1/2022;3000;10000;Automoviles;POL-053
S054;1/1/2024;1/1/2025;4000;12000;Vida;POL-054
S055;1/1/2021;1/1/2023;1200;3000;Automoviles;POL-055
S056;1/1/2024;1/1/2025;5000;15000;Vida;POL-056
S057;1/1/2021;1/1/2022;800;2000;Automoviles;POL-057
S058;1/1/2021;1/1/2022;2500;7000;Vida;POL-058
S059;1/1/2021;1/1/2024;1000;5000;Automoviles;POL-059
S060;1/1/2024;1/1/2025;2000;8000;Automoviles;POL-060
S061;1/1/2021;1/1/2025;1500;4000;Vida;POL-061
S062;1/1/2024;1/1/2024;3000;10000;Automoviles;POL-062
S063;1/1/2025;1/1/2025;4000;12000;Vida;POL-063
S064;1/1/2021;1/1/2025;1200;3000;Automoviles;POL-064
S065;1/1/2026;1/1/2026;5000;15000;Vida;POL-065
S066;1/1/2021;1/1/2023;800;2000;Automoviles;POL-066
S067;1/1/2021;1/1/2026;2500;7000;Vida;POL-067
S068;15/1/2023;20/1/2023;1000;5000;Automoviles;POL-068
S069;10/2/2023;15/3/2023;2000;8000;Automoviles;POL-069
S070;1/6/2023;5/6/2023;1500;4000;Vida;POL-070
S071;20/12/2022;10/1/2023;3000;10000;Automoviles;POL-071
S072;5/11/2022;20/5/2023;4000;12000;Vida;POL-072
S073;10/3/2023;12/3/2023;1200;3000;Automoviles;POL-073
S074;1/1/2023;15/1/2024;5000;15000;Vida;POL-074
S075;20/5/2023;1/6/2023;800;2000;Automoviles;POL-075
S076;15/1/2023;20/1/2023;1000;5000;Automoviles;POL-076
S077;10/2/2023;15/3/2023;2000;8000;Automoviles;POL-077
S078;1/6/2023;5/6/2023;1500;4000;Vida;POL-078
S079;20/12/2022;10/1/2023;3000;10000;Automoviles;POL-079
S080;5/11/2022;20/5/2023;4000;12000;Vida;POL-080
S081;10/3/2023;12/3/2023;1200;3000;Automoviles;POL-081
S082;1/1/2023;15/1/2024;5000;15000;Vida;POL-082
S083;20/5/2023;1/6/2023;800;2000;Automoviles;POL-083
S084;20/12/2022;10/1/2023;3000;10000;Automoviles;POL-084
S085;5/11/2022;20/5/2023;4000;12000;Vida;POL-085
S086;10/3/2023;12/3/2023;1200;3000;Automoviles;POL-086
S087;1/1/2023;15/1/2024;5000;15000;Vida;POL-087
S088;20/5/2023;1/6/2023;800;2000;Automoviles;POL-088
S089;15/8/2022;30/12/2022;2500;7000;Vida;POL-089
S090;15/2/2023;20/2/2023;1800;6000;Automoviles;POL-090
S091;1/1/2024;1/1/2024;1000;5000;Automoviles;POL-091
S092;1/1/2025;1/1/2026;2000;8000;Automoviles;POL-092
S093;1/1/2024;1/1/2024;1500;4000;Vida;POL-093
S094;1/1/2025;1/1/2025;3000;10000;Automoviles;POL-094
S095;1/1/2021;1/1/2024;4000;12000;Vida;POL-095
S096;1/1/2024;1/1/2025;1200;3000;Automoviles;POL-096
S097;1/1/2024;1/1/2024;5000;15000;Vida;POL-097
S098;1/1/2024;1/1/2025;800;2000;Automoviles;POL-098
S099;1/1/2025;1/1/2025;2500;7000;Vida;POL-099
S100;1/1/2025;1/1/2025;1800;6000;Automoviles;POL-100
